element,opponent_team_name,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
1,Man Utd,10,1,90,0,0,1,0,0,0,0,1,0,7,3,38,1,13,0,0,1,0.00,0.00,0.00,1.52
1,Leeds,6,2,90,0,0,1,0,0,0,0,0,0,1,0,28,0,3,0,0,1,0.00,0.00,0.00,0.17
1,Liverpool,2,3,90,0,0,0,1,0,0,0,0,0,2,0,12,0,12,0,0,1,0.00,0.02,0.02,0.52
1,Nott'm Forest,6,4,90,0,0,1,0,0,0,0,0,0,1,0,24,0,9,0,0,1,0.00,0.00,0.00,0.20
1,Man City,2,5,90,0,0,0,1,0,0,0,0,0,2,0,13,1,6,0,0,1,0.00,0.01,0.01,0.89
1,Newcastle,2,6,90,0,0,0,1,0,0,0,0,0,2,0,11,2,10,0,0,1,0.00,0.01,0.01,0.61
1,West Ham,6,7,90,0,0,1,0,0,0,0,0,0,0,0,20,0,8,0,0,1,0.00,0.00,0.00,0.49
1,Fulham,6,8,90,0,0,1,0,0,0,0,0,0,0,0,21,2,7,0,0,1,0.00,0.00,0.00,0.44
1,Crystal Palace,6,9,90,0,0,1,0,0,0,0,0,0,1,0,25,2,10,0,0,1,0.00,0.00,0.00,0.47
1,Burnley,6,10,90,0,0,1,0,0,0,0,0,0,0,0,20,1,7,0,0,1,0.00,0.00,0.00,0.42
1,Sunderland,1,11,90,0,0,0,2,0,0,0,0,0,0,0,-2,0,2,0,0,1,0.00,0.00,0.00,0.44
1,Spurs,2,12,90,0,0,0,1,0,0,0,0,0,1,0,6,0,5,0,0,1,0.00,0.00,0.00,0.07
1,Chelsea,3,13,90,0,0,0,1,0,0,0,0,0,3,0,12,0,7,0,0,1,0.00,0.00,0.00,0.79
1,Brentford,6,14,90,0,0,1,0,0,0,0,0,0,1,0,26,2,12,0,0,1,0.00,0.00,0.00,0.35
1,Aston Villa,2,15,90,0,0,0,2,0,0,0,0,0,4,0,13,0,7,0,0,1,0.00,0.00,0.00,2.16
1,Wolves,2,16,90,0,0,0,1,0,0,0,0,0,1,0,8,1,9,0,0,1,0.00,0.00,0.00,0.38
1,Everton,7,17,90,0,0,1,0,0,0,0,0,0,1,1,28,1,14,0,0,1,0.00,0.00,0.00,0.20
1,Brighton,2,18,90,0,0,0,1,0,0,0,0,0,2,0,11,0,6,0,0,1,0.00,0.00,0.00,0.85
1,Aston Villa,2,19,90,0,0,0,1,0,0,0,0,0,2,0,12,2,9,0,0,1,0.00,0.00,0.00,2.67
1,Bournemouth,1,20,90,0,0,0,2,0,0,0,0,0,1,0,3,0,8,0,0,1,0.00,0.00,0.00,1.43
1,Liverpool,6,21,90,0,0,1,0,0,0,0,0,0,0,0,19,1,4,0,0,1,0.00,0.00,0.00,0.36
